Origin,Origin_coordinates,Origin_code,Destination,Destination_coordinates,Dest_code,Road,Distance,AvgDurationm,Duration_min(minutes),Duration_max(minutes),Date,Time,Timestamp,Distance(KMs)
"Raidurg, Mindspace, Hitech City Rd, Phase 2, HITEC City, Hyderabad, Telangana 500081, India","17.4420795, 78.377135099",RDMTR,"Raheja Mindspace Building 12c, C9PP+R7C, Madhapur, Telangana 500081, India","17.4370659, 78.38563189999999",Raheja12C,Mindspace Madhapur Rd,1505,5,4,8,8/8/2022,8 to 10 AM,1659945600,1.5
"Raidurg, Mindspace, Hitech City Rd, Phase 2, HITEC City, Hyderabad, Telangana 500081, India","17.4420795, 78.377135099",RDMTR,"HONEYWELL IT SOLUTIONS PVT LTD, # 3rd Floor, LP Tower, opp. Melange Towers, HITEC City, Madhapur, Telangana 500081, India","17.4449562, 78.384171",Honeywell IT,Huda Techno Enclave Rd,1564,5,3,8,8/8/2022,8 to 10 AM,1659945600,1.6 km
"Raidurg, Mindspace, Hitech City Rd, Phase 2, HITEC City, Hyderabad, Telangana 500081, India","17.4420795, 78.377135099",RDMTR,"Inorbit Gate, Silpa Gram Craft Village, Hyderabad, Telangana 500081, India","17.43321, 78.38578",Inorbit Gate,Inorbit Mall Rd,1768,5,3,8,8/8/2022,8 to 10 AM,1659945600,1.8 km
"Raidurg, Mindspace, Hitech City Rd, Phase 2, HITEC City, Hyderabad, Telangana 500081, India","17.4420795, 78.377135099",RDMTR,"Divyasree Tech Park, C9GH+3J2, Silpa Gram Craft Village, HITEC City, Hyderabad, Telangana 500032, India","17.4251403, 78.379027",DivyasreeTP,Hitech City Main Rd,2546,5,3,6,8/8/2022,8 to 10 AM,1659945600,2.5 km
"Borabanda, Borabanda Railway Station Rd, Allapur, Borabanda, Madhapur, Telangana 500018, India","17.4592097, 78.4080362",BORMTS,"kazma technology, A1 Towers 4th Floor, Kavuri Hills Phase 3, Sri Rama Colony, Madhapur, Telangana 500033, India","17.4415495, 78.3966947",Kazmatech,Madhapur Rd,3883,14,12,20,8/8/2022,8 to 10 AM,1659945600,3.9 km
"Borabanda, Borabanda Railway Station Rd, Allapur, Borabanda, Madhapur, Telangana 500018, India","17.4592097, 78.4080362",BORMTS,"kazma technology, A1 Towers 4th Floor, Kavuri Hills Phase 3, Sri Rama Colony, Madhapur, Telangana 500033, India","17.4415495, 78.3966947",Kazmatech,Peeli Dargah Rd and Madhapur Rd,4231,16,14,22,8/8/2022,8 to 10 AM,1659945600,4.2 km
"Borabanda, Borabanda Railway Station Rd, Allapur, Borabanda, Madhapur, Telangana 500018, India","17.4592097, 78.4080362",BORMTS,"Madhapur Metro Station, Rd Number 36, Aditya Enclave, Venkatagiri, Jubilee Hills, Madhapur, Telangana 500033, India","17.43675829, 78.4006935",MADMTS,Madhapur Rd,4744,16,12,22,8/8/2022,8 to 10 AM,1659945600,4.7 km
"Borabanda, Borabanda Railway Station Rd, Allapur, Borabanda, Madhapur, Telangana 500018, India","17.4592097, 78.4080362",BORMTS,"Madhapur Metro Station, Rd Number 36, Aditya Enclave, Venkatagiri, Jubilee Hills, Madhapur, Telangana 500033, India","17.43675829, 78.4006936",MADMTS,Madhapur Rd and Rd Number 36,4461,14,12,20,8/8/2022,8 to 10 AM,1659945600,4.5 km
"Borabanda, Borabanda Railway Station Rd, Allapur, Borabanda, Madhapur, Telangana 500018, India","17.4592097, 78.4080362",BORMTS,"Madhapur Metro Station, Rd Number 36, Aditya Enclave, Venkatagiri, Jubilee Hills, Madhapur, Telangana 500033, India","17.43675829, 78.4006937",MADMTS,"Peeli Dargah Rd, Madhapur Rd and Rd Number 36",5092,18,14,24,8/8/2022,8 to 10 AM,1659945600,5.1 km
"Borabanda, Borabanda Railway Station Rd, Allapur, Borabanda, Madhapur, Telangana 500018, India","17.4592097, 78.4080362",BORMTS,"Hitech City Bus Stop, Hitech City Rd, Jaihind Enclave, HITEC City, Hyderabad, Telangana 500081, India","17.450128, 78.382053",HCBTS,Bhagyanagar Colony Main Rd and Hitech City Main Rd,4568,14,12,20,8/8/2022,8 to 10 AM,1659945600,4.6 km
